file_suffix	path_pattern	producer	emitted	format	category	writer_ref	description
.score_info.iic	<out>/<name>.score_info.iic	intronIC	always	tsv-header-38col	per_intron	writers.py:1211 + species_adjudicator.py:615	AUTHORITATIVE per-intron feature+call matrix; scored introns only; 26 writer cols + 12 adjudicator cols (NA vs nan sentinels); key cols P_motif(27) motif_category(33) type_id(38)
.meta.iic	<out>/<name>.meta.iic	intronIC	always	tsv-header-16col	per_intron	writers.py:835	Per-intron metadata (name,rel_score,dnts,motif_schematic,bp_context,bp_offset,length,parent,grandparent,index,family_size,frac_pos,phase,type_id,feature,attributes); full inventory; call synced from score_info
.bed.iic	<out>/<name>.bed.iic	intronIC	always	tsv-noheader-7col	per_intron	writers.py:721	Genomic coords: chrom, start(0-based), stop, name, adjusted_score(0-100 adjudicated call scale, synced post-adjudication; >=50 <=> u12; NA), strand, attributes; full inventory
.introns.iic	<out>/<name>.introns.iic	intronIC	always	tsv-noheader-5col	per_intron	writers.py:1022	Intron sequences: name, score(first-pass svm_score 2dp; NOT the call), upstream_flank, seq, downstream_flank; full inventory; is the -q re-score input format
.introns.iic.gz	<out>/<name>.introns.iic.gz	orchestrator	external	gzip	per_intron	-	Gzip of .introns.iic; compression done post-run by the WtMTA orchestrator, not intronIC
.metrics.iic.json	<out>/<name>.metrics.iic.json	intronIC	always	json-26key	per_species	main.py:544	Per-species aggregate: total/scored counts, u12/u2/high_confidence counts, *_boundaries dinucleotide tallies (AT-AC=minor subtype), motif_category, z_excess, cs_p95, p_gumbel_p95, motif_called_u12, confident_u12_motif
.tail_model.iic.json	<out>/<name>.tail_model.iic.json	intronIC	always (pmotif bundle)	json	per_species	species_adjudicator.py:556	Adjudicator EVT sidecar: Platt params, U2-tail fit, call_margins, z_excess/cs_p95/p_gumbel_p95, motif_category; drives the tail-model plot
.dupe_map.iic	<out>/<name>.dupe_map.iic	intronIC	conditional (duplicates exist)	tsv-noheader-2col	mapping	writers.py:1432	representative_intron_id <tab> excluded_duplicate_id (raw intron_ids, not formatted names); one row per collapsed duplicate; streaming path only
.overlap_map.iic	<out>/<name>.overlap_map.iic	intronIC	conditional (overlaps exist; usually absent)	tsv-noheader-2col	mapping	writers.py:1432	representative_intron_id <tab> excluded_overlapping_id; streaming path only
.iic.log	<out>/<name>.iic.log	intronIC	always	text	log	main.py:1498	Freeform human-readable run log (Rich box tables): command+config banner, stage messages, pmotif adjudication summary, filtering/classification/boundary tables; NOT machine-parseable
.plot.hex.iic.png	<out>/<name>.plot.hex.iic.png	intronIC	always	png	plot	plots.py:204	Density hexbin of the intron cloud in 5'SS-raw x BPS-raw (standardized) space
.plot.scatter.iic.png	<out>/<name>.plot.scatter.iic.png	intronIC	always	png	plot	plots.py:216	U12 confidence-tier scatter over U2 background, 5'SS x BPS, with marginal histograms
.plot.scatter_raw.iic.png	<out>/<name>.plot.scatter_raw.iic.png	intronIC	conditional (motif_category == NOT_DETECTED)	png	plot	plots.py:374	Raw-motif companion scatter for suppressed genomes: introns coloured by per-intron 100*P_motif (pre-adjudication), so motif-strong introns hidden by the NOT_DETECTED call are visible; subtitle keeps true call counts, annotates the species call
.plot.scatter3d.iic.png	<out>/<name>.plot.scatter3d.iic.png	intronIC	conditional (3' scores present)	png	plot	plots.py:230	Two-view 3-D scatter of 5'SS x BPS x 3'SS motif axes
.plot.score_histogram.iic.png	<out>/<name>.plot.score_histogram.iic.png	intronIC	conditional (any calling scores)	png	plot	plots.py:245	Log-y histogram of the calling score (adjusted_score) with the 90% threshold line
.plot.tail_model.iic.png	<out>/<name>.plot.tail_model.iic.png	intronIC	conditional (tail_model sidecar + U2 population)	png	plot	plots.py:917	Adjudicator diagnostic: U2 background margins, fitted POT-exponential tail, U12 calls; annotates motif_category/z_excess/p_gumbel
.runner.log	<out>/<name>.runner.log	orchestrator	external	text	log	-	WtMTA orchestrator per-task log; not written by intronIC
.gene_contig_count	<genome_dir>/<annotation>.gene_contig_count	orchestrator	external	text	cache	-	Single-integer gene-bearing-contig count cached by the orchestrator for its streaming/in-memory mode heuristic; not an intronIC output
